845753,636607,,,,,,
812954,643720,,,,,,
868217,609046,,,,,,
920248,607272,,,,,,
841621,639394,,,,,,
843907,598777,,,,,,
817712,620917,,,,,,
865980,632292,,,,,,
876539,639944,,,,,,
805247,642901,,,,,,
829227,565484,,,,,,
834679,669557,,,,,,
851242,630615,,,,,,
890325,702688,,,,,,
832159,638667,,,,,,
833736,637738,,,,,,
778784,571492,,,,,,
844489,672382,,,,,,
825802,638894,,,,,,
875471,622426,,,,,,
879225,639387,,,,,,
819482,633447,,,,,,
818212,633262,,,,,,
839324,651033,,,,,,
817439,678071,,,,,,
876202,600942,,,,,,
841025,623927,,,,,,
850781,619234,,,,,,
754610,657392,,,,,,
842733,640979,,,,,,
881538,613492,,,,,,
804685,671123,,,,,,
877083,575129,,,,,,
847312,655073,,,,,,
827558,623170,,,,,,
896258,707205,,,,,,
829939,644422,,,,,,
880719,597439,,,,,,
828313,669762,,,,,,
778978,589645,,,,,,
832323,624353,,,,,,
838906,655174,,,,,,
913673,576755,,,,,,
875535,587227,,,,,,
797487,625675,,,,,,
893942,596033,,,,,,
770410,662419,,,,,,
814804,605047,,,,,,
832215,638387,,,,,,
840280,643770,,,,,,
833327,621905,,,,,,
763542,635170,,,,,,
825599,608689,,,,,,
813209,683512,,,,,,
938544,680392,,,,,,
834393,656902,,,,,,
787129,643393,,,,,,
801229,617139,,,,,,
886144,566002,,,,,,
865073,661021,,,,,,
796962,632416,,,,,,
822877,612926,,,,,,
835985,639514,,,,,,
908901,628142,,,,,,
807989,610817,,,,,,
823816,651852,,,,,,
818245,618659,,,,,,
827601,640196,,,,,,
846830,641704,,,,,,
829041,623258,,,,,,
858850,714281,,,,,,
835967,564514,,,,,,
835698,660461,,,,,,
843223,632872,,,,,,
880916,697241,,,,,,
813541,641007,,,,,,
913911,586519,,,,,,
707529,693451,,,,,,
846436,659041,,,,,,
865316,690133,,,,,,
842837,647272,,,,,,
856101,601665,,,,,,
822815,616988,,,,,,
823364,620870,,,,,,
817697,617678,,,,,,
822368,648690,,,,,,
855476,711703,,,,,,
818065,675114,,,,,,
843822,686283,,,,,,
834396,637625,,,,,,
802367,626026,,,,,,
774481,694664,,,,,,
805075,559992,,,,,,
828813,622656,,,,,,
841088,641913,,,,,,
736868,591803,,,,,,
812519,658809,,,,,,
847097,610257,,,,,,
880136,670834,,,,,,
871566,663124,,,,,,
835178,647851,,,,,,
801113,631728,,,,,,
836302,641336,,,,,,
865563,600752,,,,,,
856184,670732,,,,,,
930906,675380,,,,,,
787684,612023,,,,,,
879210,671905,,,,,,
940080,668730,,,,,,
812951,619690,,,,,,
782647,635710,,,,,,
834146,634536,,,,,,
825334,626399,,,,,,
827880,657944,,,,,,
806472,625818,,,,,,
813142,634900,,,,,,
834478,637224,,,,,,
859522,666389,,,,,,
812822,650842,,,,,,
927475,652500,,,,,,
830057,593423,,,,,,
852554,687005,,,,,,
755212,616702,,,,,,
825515,636212,,,,,,
841978,583774,,,,,,
828956,617518,,,,,,
851077,623381,,,,,,
847787,616365,,,,,,
781111,594759,,,,,,
793474,650770,,,,,,
849922,659848,,,,,,
857555,592525,,,,,,
851042,620360,,,,,,
583727,240847,,,,,,
512999,279524,,,,,,
590219,205918,,,,,,
557291,235283,,,,,,
562609,261858,,,,,,
573223,256679,,,,,,
577033,261125,,,,,,
618685,246895,,,,,,
563806,242703,,,,,,
572797,264895,,,,,,
537958,171180,,,,,,
564558,251534,,,,,,
578430,260413,,,,,,
495770,314954,,,,,,
551139,304558,,,,,,
654533,234925,,,,,,
574254,246150,,,,,,
546542,224111,,,,,,
560338,216298,,,,,,
676848,196504,,,,,,
562287,210155,,,,,,
589172,296436,,,,,,
600350,211786,,,,,,
531053,241400,,,,,,
528764,238969,,,,,,
